original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,attack,dataset,words,nr_perturbations,len_sentence,perturbation_percentage
"[[Friendly]] [[staff]], same starbucks fair you get [[anywhere]] else.  Sometimes the lines can get long.","[[Friendship]] [[employees]], same starbucks fair you get [[someplace]] else.  Sometimes the lines can get long.",0.0006849765777587,0.7952514886856079,1,0,1,573,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Friendship]]', '[[employees]],', 'same', 'starbucks', 'fair', 'you', 'get', '[[someplace]]', 'else.', 'Sometimes', 'the', 'lines', 'can', 'get', 'long.']",2,15,13.333333333333334
[[Good]] quality pork fried dumpling and mongo beef.  Bar service was [[fast]] and Efficent.   [[Good]] value.  Not a 5 [[cause]] dragon eye tea was cold first time around and beef had [[minor]] amount of [[fat]].   [[Fortune]] was even Postive!,[[Decent]] quality pork fried dumpling and mongo beef.  Bar service was [[speedily]] and Efficent.   [[Alright]] value.  Not a 5 [[provoke]] dragon eye tea was cold first time around and beef had [[marginal]] amount of [[greasy]].   [[Luck]] was even Postive!,0.0001485347747802,0.6401703357696533,1,0,1,2523,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Decent]]', 'quality', 'pork', 'fried', 'dumpling', 'and', 'mongo', 'beef.', 'Bar', 'service', 'was', '[[speedily]]', 'and', 'Efficent.', '[[Alright]]', 'value.', 'Not', 'a', '5', '[[provoke]]', 'dragon', 'eye', 'tea', 'was', 'cold', 'first', 'time', 'around', 'and', 'beef', 'had', '[[marginal]]', 'amount', 'of', '[[greasy]].', '[[Luck]]', 'was', 'even', 'Postive!']",6,39,15.384615384615385
"Very [[bad]] purchase experience. I bought a shirt with a hole covered in the rolled up sleeves, but they [[denied]] my request to return it. I am so angery at this and will never shop their chothes [[anymore]].","Very [[wicked]] purchase experience. I bought a shirt with a hole covered in the rolled up sleeves, but they [[disallowed]] my request to return it. I am so angery at this and will never shop their chothes [[plus]].",0.0001503229141235,0.913670778274536,0,1,0,866,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['Very', '[[wicked]]', 'purchase', 'experience.', 'I', 'bought', 'a', 'shirt', 'with', 'a', 'hole', 'covered', 'in', 'the', 'rolled', 'up', 'sleeves,', 'but', 'they', '[[disallowed]]', 'my', 'request', 'to', 'return', 'it.', 'I', 'am', 'so', 'angery', 'at', 'this', 'and', 'will', 'never', 'shop', 'their', 'chothes', '[[plus]].']",2,38,5.263157894736842
I went there [[today]]! The [[cut]] was terrible! I have an awful experience. They [[lady]] that [[cut]] my hair was [[nice]] but she wanted to [[leave]] [[early]] so she [[made]] a [[disaster]] in my head!,I went there [[nowadays]]! The [[cutting]] was terrible! I have an awful experience. They [[madame]] that [[cutting]] my hair was [[delightful]] but she wanted to [[let]] [[soon]] so she [[introduced]] a [[cataclysm]] in my head!,0.0001503229141235,0.8579517602920532,0,1,0,2650,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['I', 'went', 'there', '[[nowadays]]!', 'The', '[[cutting]]', 'was', 'terrible!', 'I', 'have', 'an', 'awful', 'experience.', 'They', '[[madame]]', 'that', '[[cutting]]', 'my', 'hair', 'was', '[[delightful]]', 'but', 'she', 'wanted', 'to', '[[let]]', '[[soon]]', 'so', 'she', '[[introduced]]', 'a', '[[cataclysm]]', 'in', 'my', 'head!']",8,35,22.857142857142858
"[[Yes]]! [[Awesome]] soy cap, scone, and [[atmosphere]]. Nice place to hang out & read, and free WiFi with no [[login]] [[procedure]].","[[Aye]]! [[Marvellous]] soy cap, scone, and [[ambiance]]. Nice place to hang out & read, and free WiFi with no [[connect]] [[procedural]].",0.0001463890075683,0.6623425483703613,1,0,1,2027,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Aye]]!', '[[Marvellous]]', 'soy', 'cap,', 'scone,', 'and', '[[ambiance]].', 'Nice', 'place', 'to', 'hang', 'out', '&', 'read,', 'and', 'free', 'WiFi', 'with', 'no', '[[connect]]', '[[procedural]].']",2,21,9.523809523809524
"I'm a [[creature]] of habit--I've been [[getting]] a savory and sweet item each time I'm [[around]] the [[neighborhood]]. White lily [[cake]] is [[divine]]! Quiches [[always]] [[tasty]]. Macarons are [[alittle]] too [[sweet]]. I [[wish]] the cake slices weren't $4/pop. [[Otherwise]], would be a [[regular]] here.","I'm a [[monster]] of habit--I've been [[gain]] a savory and sweet item each time I'm [[about]] the [[vicinity]]. White lily [[cookie]] is [[celestial]]! Quiches [[continuously]] [[tasting]]. Macarons are [[abit]] too [[sugary]]. I [[desired]] the cake slices weren't $4/pop. [[Incidentally]], would be a [[normal]] here.",0.0001459121704101,0.6810459494590759,1,0,1,5186,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"[""I'm"", 'a', '[[monster]]', 'of', ""habit--I've"", 'been', '[[gain]]', 'a', 'savory', 'and', 'sweet', 'item', 'each', 'time', ""I'm"", '[[about]]', 'the', '[[vicinity]].', 'White', 'lily', '[[cookie]]', 'is', '[[celestial]]!', 'Quiches', '[[continuously]]', '[[tasting]].', 'Macarons', 'are', '[[abit]]', 'too', '[[sugary]].', 'I', '[[desired]]', 'the', 'cake', 'slices', ""weren't"", '$4/pop.', '[[Incidentally]],', 'would', 'be', 'a', '[[normal]]', 'here.']",8,44,18.181818181818183
"This Valentines Day I [[ordered]] a pizza for my boyfriend and asked that they make a heart on it out of green peppers. The pizza was [[great]], the heart was [[perfect]], and he loved it!","This Valentines Day I [[instructed]] a pizza for my boyfriend and asked that they make a heart on it out of green peppers. The pizza was [[prodigious]], the heart was [[faultless]], and he loved it!",0.000145673751831,0.8863648176193237,1,0,1,699,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['This', 'Valentines', 'Day', 'I', '[[instructed]]', 'a', 'pizza', 'for', 'my', 'boyfriend', 'and', 'asked', 'that', 'they', 'make', 'a', 'heart', 'on', 'it', 'out', 'of', 'green', 'peppers.', 'The', 'pizza', 'was', '[[prodigious]],', 'the', 'heart', 'was', '[[faultless]],', 'and', 'he', 'loved', 'it!']",1,35,2.857142857142857
"Fun [[bar]], and instead of [[typical]] bar food they lean towards Greek dishes. The blue grass jam on [[Wednesdays]] is a lot of fun and not too loud to [[still]] enjoy a conversation. Decent beer [[prices]], pretty good selection.","Fun [[solicitor]], and instead of [[classic]] bar food they lean towards Greek dishes. The blue grass jam on [[Tuesdays]] is a lot of fun and not too loud to [[even]] enjoy a conversation. Decent beer [[costing]], pretty good selection.",0.0001626014709472,0.7446475028991699,1,0,1,1803,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['Fun', '[[solicitor]],', 'and', 'instead', 'of', '[[classic]]', 'bar', 'food', 'they', 'lean', 'towards', 'Greek', 'dishes.', 'The', 'blue', 'grass', 'jam', 'on', '[[Tuesdays]]', 'is', 'a', 'lot', 'of', 'fun', 'and', 'not', 'too', 'loud', 'to', '[[even]]', 'enjoy', 'a', 'conversation.', 'Decent', 'beer', '[[costing]],', 'pretty', 'good', 'selection.']",3,39,7.6923076923076925
"First time customer today.  It is truly a dive but the sandwiches are [[great]].  Large portions, fresh bread and cheap...","First time customer today.  It is truly a dive but the sandwiches are [[prodigious]].  Large portions, fresh bread and cheap...",0.0001574754714965,0.9970361590385436,1,0,1,402,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['First', 'time', 'customer', 'today.', 'It', 'is', 'truly', 'a', 'dive', 'but', 'the', 'sandwiches', 'are', '[[prodigious]].', 'Large', 'portions,', 'fresh', 'bread', 'and', 'cheap...']",0,20,0.0
"Seattle may have just won the 2014 Super Bowl, but the [[Steelers]] still rock with six rings, [[Baby]]!!! Just stating what all Steeler fans know: a Steel Dynasty is still unmatched no matter what team claims the title of current Super Bowl Champs.. Go [[Steelers]]!!!","Seattle may have just won the 2014 Super Bowl, but the [[Texans]] still rock with six rings, [[Bebe]]!!! Just stating what all Steeler fans know: a Steel Dynasty is still unmatched no matter what team claims the title of current Super Bowl Champs.. Go [[Buccaneers]]!!!",0.0001590251922607,0.7238390445709229,1,0,1,822,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['Seattle', 'may', 'have', 'just', 'won', 'the', '2014', 'Super', 'Bowl,', 'but', 'the', '[[Texans]]', 'still', 'rock', 'with', 'six', 'rings,', '[[Bebe]]!!!', 'Just', 'stating', 'what', 'all', 'Steeler', 'fans', 'know:', 'a', 'Steel', 'Dynasty', 'is', 'still', 'unmatched', 'no', 'matter', 'what', 'team', 'claims', 'the', 'title', 'of', 'current', 'Super', 'Bowl', 'Champs..', 'Go', '[[Buccaneers]]!!!']",1,45,2.2222222222222223
